en,de,ja
Afghanistan,Afghanistan,アフガニスタン
Albania,Albanien,アルバニア
Algeria,Algerien,アルジェリア
Andorra,Andorra,アンドラ
Angola,Angola,アンゴラ
Antigua and Barbuda,Antigua und Barbuda,アンティグア・バーブーダ
Argentina,Argentinien,アルゼンチン
Armenia,Armenien,アルメニア
Australia,Australien,オーストラリア
Austria,Österreich,オーストリア
Azerbaijan,Aserbaidschan,アゼルバイジャン
The Bahamas,Bahamas,バハマ
Bahrain,Bahrain,バーレーン
Bangladesh,Bangladesch,バングラデシュ
Barbados,Barbados,バルバドス
Belarus,Weißrussland,ベラルーシ
Belgium,Belgien,ベルギー
Belize,Belize,ベリーズ
Benin,Benin,ベナン
Bhutan,Bhutan,ブータン
Bolivia,Bolivien,ボリビア
Bosnia and Herzegovina,Bosnien und Herzegowina,ボスニア・ヘルツェゴビナ
Botswana,Botswana,ボツワナ
Brazil,Brasilien,ブラジル
Brunei,Brunei,ブルネイ
Bulgaria,Bulgarien,ブルガリア
Burkina Faso,Burkina Faso,ブルキナファソ
Burundi,Burundi,ブルンジ
Cape Verde,Kap Verde,カーボベルデ
Cambodia,Kambodscha,カンボジア
Cameroon,Kamerun,カメルーン
Canada,Kanada,カナダ
Central African Republic,Zentralafrikanische Republik,中央アフリカ共和国
Chad,Tschad,チャド
Chile,Chile,チリ
China,China,中国
Colombia,Kolumbien,コロンビア
Comoros,Komoren,コモロ
Democratic Republic of the Congo,Demokratische Republik Kongo,コンゴ民主共和国
Republic of the Congo,Republik Kongo,コンゴ共和国
Costa Rica,Costa Rica,コスタリカ
Ivory Coast,Elfenbeinküste,コートジボワール
Croatia,Kroatien,クロアチア
Cuba,Kuba,キューバ
Cyprus,Republik Zypern,キプロス
Czech Republic,Tschechien,チェコ
Denmark,Dänemark,デンマーク
Djibouti,Dschibuti,ジブチ
Dominica,Dominica,ドミニカ国
Dominican Republic,Dominikanische Republik,ドミニカ共和国
Ecuador,Ecuador,エクアドル
Egypt,ÁEypten,エジプト
El Salvador,El Salvador,エルサルバドル
Equatorial Guinea,Äquatorialguinea,赤道ギニア
Eritrea,Eritrea,エリトリア
Estonia,Estland,エストニア
Eswatini,Eswatini,エスワティニ
Ethiopia,Äthiopien,エチオピア
Fiji,Fidschi,フィジー
Finland,Finnland,フィンランド
France,Frankreich,フランス
Gabon,Gabun,ガボン
The Gambia,Gambia,ガンビア
Georgia,Georgien,ジョージア
Germany,Deutschland,ドイツ
Ghana,Ghana,ガーナ
Greece,Griechenland,ギリシャ
Grenada,Grenada,グレナダ
Guatemala,Guatemala,グアテマラ
Guinea,Guinea,ギニア
Guinea-Bissau,Guinea-Bissau,ギニアビサウ
Guyana,Guyana,ガイアナ
Haiti,Haiti,ハイチ
Honduras,Honduras,ホンジュラス
Hungary,Ungarn,ハンガリー
